Product Name,Brand,id marque,id tel
XOLO T1000 (Black 4 GB),XOLO,63,1
GIONEE Pioneer P3 (White 4 GB),GIONEE,11,2
KARBONN Titanium S4 (Black 4 GB),KARBONN,26,3
KARBONN Titanium S4 (White 4 GB),KARBONN,26,4
Micromax Bolt A71 (Black 165 MB),Micromax,38,5
Lenovo S930 (Silver 8 GB),Lenovo,31,6
Micromax Canvas Elanza A93 (Black Silver 4 GB),Micromax,38,7
KARBONN A19 (Black Silver 4 GB),KARBONN,26,8
LG L90 Dual (White 8 GB),LG,32,9
LG Optimus L70 (Black 4 GB),LG,32,10
LG G Pro 2 (Titan 16 GB),LG,32,11
MI3 (Metallic Grey 16 GB),MI3,37,12
ASUS Zenfone 4 (Red 8 GB),ASUS,3,13
ASUS Zenfone 5 A501CG (Gold 8 GB),ASUS,3,14
ASUS Zenfone 4 (Yellow 8 GB),ASUS,3,15
Micromax Canvas 2 Colors A120 (Grey 4 GB),Micromax,38,16
HPL A35 (Black 512 MB),HPL,14,17
Moto X (2nd Generation) (Black Leather 16 GB),Motorola,41,18
XOLO Omega 5.0 (Black 8 GB),XOLO,63,19
Moto Turbo (Black 64 GB),Motorola,41,20
Honor 6 Plus (Black 32 GB),Honor,13,21
Micromax Canvas Juice 2 (Silver 8 GB),Micromax,38,22
SAMSUNG Galaxy S6 Edge (Black Sapphire 32 GB),SAMSUNG,51,23
Moto G (3rd Generation) (White 16 GB),Motorola,41,24
GIONEE Pioneer P4S (Black 8 GB),GIONEE,11,25
Lenovo K3 Note (Yellow 16 GB),Lenovo,31,26
Micromax Canvas Selfie Lens (Moon Dust Grey 8 GB),Micromax,38,27
Micromax Canvas Nitro 2 (White & Gold 16 GB),Micromax,38,28
Panasonic Eluga Z (Midnight Blue 16 GB),Panasonic,46,29
ASUS Zenfone Selfie (Silver 16 GB),ASUS,3,30
ASUS Zenfone 2 Laser (Black 16 GB),ASUS,3,31
SAMSUNG Galaxy J2 (White 8 GB),SAMSUNG,51,32
Panasonic Eluga Switch (Gun Metal Grey 32 GB),Panasonic,46,33
Micromax Doodle4 (Blue 8 GB),Micromax,38,34
SAMSUNG Galaxy On7 (Black 8 GB),SAMSUNG,51,35
Nuvo alpha with free power bank (White 4 GB),Nuvo,44,36
OPPO Neo 7 4G (Black 16 GB),OPPO,45,37
MICROSOFT Lumia 550 (White 8 GB),MICROSOFT,39,38
Micromax Canvas Pace 4G Q416 Dual Sim - Black (Black 8 GB),Micromax,38,39
Infocus M535 (Gold 16 GB),Infocus,20,40
Lenovo X2-AP (Gold 32 GB),Lenovo,31,41
Moto X Play(With Turbo Charger) (White 16 GB),Motorola,41,42
ASUS Padfone Mini (White 8 GB),ASUS,3,43
Moto X (2nd Generation) (Black 32 GB),Motorola,41,44
Lenovo Vibe K5 Plus (Dark Grey 16 GB),Lenovo,31,45
Micromax Canvas 6 Pro (Black 16 GB),Micromax,38,46
SAMSUNG Galaxy J7 - 6 (New 2016 Edition) (White 16 GB),SAMSUNG,51,47
SAMSUNG Galaxy J7 - 6 (New 2016 Edition) (Black 16 GB),SAMSUNG,51,48
ASUS Zenfone 3 (White 32 GB),ASUS,3,49
LAVA X17 4G with VoLTE (Champagne & Gold 8 GB),LAVA,29,50
GIONEE P5L (Black 16 GB),GIONEE,11,51
Alcatel Idol 4 (Dark Grey 16 GB),Alcatel,1,52
Alcatel Idol 4 (Metal Silver 16 GB),Alcatel,1,53
OPPO F1 Plus (Gold 64 GB),OPPO,45,54
Lenovo Vibe K5 Note (Silver 32 GB),Lenovo,31,55
Lenovo Vibe K5 Note (Grey 32 GB),Lenovo,31,56
Lenovo Vibe K5 Note (Grey 32 GB),Lenovo,31,57
iball Andi 4P Class X (White & Silver 8 GB),iball,17,58
GIONEE F103 Pro (Gold 16 GB),GIONEE,11,59
GIONEE F103 Pro (Grey 16 GB),GIONEE,11,60
HTC 10 (Topaz Gold 32 GB),HTC,15,61
Lenovo Vibe K5 Plus (Dark Grey 16 GB),Lenovo,31,62
Lenovo Vibe K5 Plus (Gold 16 GB),Lenovo,31,63
OPPO A37f (Gold 16 GB),OPPO,45,64
Huawei P9 (Titanium Grey 32 GB),Huawei,16,65
Huawei P9 (Mystic Silver 32 GB),Huawei,16,66
Huawei P9 (Prestige Gold 32 GB),Huawei,16,67
Honor 8,Honor,13,68
Honor 8,Honor,13,69
Honor 8,Honor,13,70
Itel IT 1508 (Champagne Gold 8 GB),Itel,24,71
SAMSUNG Galaxy J7 Prime (Black 16 GB),SAMSUNG,51,72
SAMSUNG Galaxy J5 Prime (Gold 16 GB),SAMSUNG,51,73
SAMSUNG Galaxy J5 Prime (Black 16 GB),SAMSUNG,51,74
TCL 560 (Dark Grey Hairline 16 GB),TCL,57,75
Infocus Epic 1 (Gold 32 GB),Infocus,20,76
LYF Water 7S,LYF,33,77
LEAGOO M5 (Gold 16 GB),LEAGOO,30,78
Redmi Note 4 (Gold 64 GB),Redmi,49,79
Redmi Note 4 (Gold 32 GB),Redmi,49,80
Redmi Note 4 (Black 32 GB),Redmi,49,81
Redmi Note 4 (Dark Grey 64 GB),Redmi,49,82
OPPO A37f (Grey 16 GB),OPPO,45,83
ASUS Zenfone 3s Max (Black 32 GB),ASUS,3,84
OPPO A57 (Gold 32 GB),OPPO,45,85
